owner_org,???? Dataset ID,title,????????????? Domain,????????????????? Sub_Domain,???????????????? Data_Entity,???????????????? Related Hazards,???? Sectors,???????????? Temporal Dimension,???????? Time Period,????? Unit,??????????????????? Temporal Resolution,geo_coverage,?????????????????????? Spatial Resolution,data_format,accessible_condition,url,???????? Limitations / Gaps,???????? Remarks,data_source,???????????????? Source_Type,??????????????? Access_Level (2),???????? Remarks (2),data_type,maintainer,maintainer_email,tag_string,notes,objective,update_frequency_unit,update_frequency_interval,data_category,license_id,created_date,last_updated_date,data_support,data_collect,data_language,high_value_dataset,reference_data
OAE,OAE_1_3,???????????????,Forward-looking,Exposure,EXPOSED_ASSET,Drought (???????); Flood (???????),Agriculture — ?????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????????????? / ?????????????? (???????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
OAE,OAE_1_4,???????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Heat (?????????????),Agriculture — ?????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,?????????,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????????????? / ????????????????????? (??????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
OAE,OAE_1_5,?????????????????????,Forward-looking,Exposure,EXPOSED_ASSET,Drought (???????); Flood (???????); Heat (?????????????),Public Health — ?????????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????????????? / ??????????????????? (??????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
RFD,RFD_1_1,???????????????????,Forward-looking,Exposure,EXPOSED_ASSET,Heat (?????????????),Agriculture — ?????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,??.?.,Annual,National,Province,CSV,Restricted,-,-,????????: ????????? / ????????????????? ???????? ???????????? (??????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
RFD,RFD_1_2,??????????????????????????????????? 5 ?? ??????????,IMPACT (Backward-looking),Loss & Damage,LOSS_DAMAGE_RECORD,Drought (???????); Flood (???????); Heat (?????????????),Natural Resources — ????????????????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ????????? / GISTDA (?????????????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
RFD,RFD_1_3,??????????????????????????????????????? ?????????????????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Flood (???????); Heat (?????????????),Natural Resources — ????????????????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ????????? (????????/??????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
RID,RID_1_2,?????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Flood (???????),Human Settlement — ???????????; Tourism — ??????????; Water — ???,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????? / ?????????????? / ???. (????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
RID,RID_1_11,???????????????? (????????),Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Heat (?????????????),Tourism — ??????????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????? / ?????????????? (????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
RID,RID_1_1,????????????????????? (??????????),Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Heat (?????????????),Agriculture — ?????; Human Settlement — ???????????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,???? ??.?./??,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????? / ?????????????? (????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
RID,RID_1_4,????????????????????? (???????????????? ???? ???????),Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????),Water — ???,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????? / ?????????????? (?????????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
RID,RID_1_6,???????????????????,Forward-looking,Hazard,HAZARDOUS_EVENT,Flood (???????),Water — ???,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,??.?./??????,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????? / ???. (???????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
RID,RID_1_10,???????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Flood (???????),Agriculture — ?????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,??.??.,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????? (???????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
RID,RID_1_8,?????????????????????,Forward-looking,Exposure,EXPOSED_ASSET,Drought (???????); Flood (???????),Agriculture — ?????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????? / ?????????????? (?????????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
RID,RID_1_9,????????????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Flood (???????),Agriculture — ?????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,???,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????? / ???????????????????????? (????????????????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
